domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"chasen.sk","https://chasen.sk",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-06-26T09:43:35.821Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","blacklist_match","","signin",0,0,"false","","","2025-06-26T09:43:52.334Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:44:09.059Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:44:25.600Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","","","2025-06-26T09:44:45.881Z"
"cryptoipant.se","https://cryptoipant.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-06-26T09:45:02.498Z"
"f49-redovisa.se","https://f49-redovisa.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-26T09:45:20.628Z"
"intelliors.ee","https://intelliors.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-26T09:45:37.113Z"
"jetbank.sk","https://jetbank.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:45:53.795Z"
"metallinredning.se","https://metallinredning.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-26T09:46:14.486Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-26T09:46:30.962Z"
"jetbank.se","https://jetbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:46:49.076Z"
"amsecure.sk","https://amsecure.sk",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-06-26T09:47:05.507Z"
"visadesigns.se","https://visadesigns.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-26T09:47:22.018Z"
"cryptomark.se","https://cryptomark.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-06-26T09:47:38.539Z"
"celion-accounting.se","https://celion-accounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-26T09:47:55.273Z"
"gullbanken.se","https://gullbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:48:11.882Z"
"pawsinmotion.se","https://pawsinmotion.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-06-26T09:48:28.647Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-26T09:48:45.074Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-26T09:49:01.481Z"
"meta-coach.sk","https://meta-coach.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-26T09:49:25.921Z"
"teslapoprad.sk","https://teslapoprad.sk",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-06-26T09:49:43.552Z"
"jetbank.sk","https://jetbank.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:49:59.955Z"
"visadesigns.se","https://visadesigns.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-26T09:50:16.703Z"
"amsecure.sk","https://amsecure.sk",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-06-26T09:50:34.417Z"
"profilmetal.se","https://profilmetal.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-26T09:50:52.965Z"
"cryptopartner.se","https://cryptopartner.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-06-26T09:51:09.430Z"
"ns1.applepaycasino.se","https://ns1.applepaycasino.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-26T09:51:25.839Z"
"profilmetall.se","https://profilmetall.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-26T09:51:42.774Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-26T09:51:59.227Z"
"nordi-paws.se","https://nordi-paws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-06-26T09:52:15.716Z"
"securescan.se","https://securescan.se",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-06-26T09:52:32.120Z"
"superiorbank.se","https://superiorbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:52:48.613Z"
"airbank.se","https://airbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:53:05.263Z"
"accountieai.se","https://accountieai.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-26T09:53:22.266Z"
"ns2.casinoinstantbanking.se","https://ns2.casinoinstantbanking.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:53:38.880Z"
"granitbanka.nu","https://granitbanka.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:53:55.311Z"
"metallinredning.se","https://metallinredning.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-26T09:54:12.485Z"
"armorwallet.se","https://armorwallet.se",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-06-26T09:54:28.964Z"
"ns1.casinoapplepay.se","https://ns1.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-26T09:54:45.452Z"
"verifyagentic.se","https://verifyagentic.se",3,"blacklist_match","blacklist_match","","verify",0,0,"false","","","2025-06-26T09:55:01.972Z"
"visarcctv.ee","https://visarcctv.ee",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-26T09:55:18.377Z"
"instantbankingcasino.se","https://instantbankingcasino.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:55:34.860Z"
"visaljerdittab.se","https://visaljerdittab.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-26T09:55:51.650Z"
"festoolsawstopbordssagtks80.se","https://festoolsawstopbordssagtks80.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-06-26T09:56:09.078Z"
"bankeryds-takservice.se","https://bankeryds-takservice.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:56:26.566Z"
"ns2.applepaycasino.se","https://ns2.applepaycasino.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-26T09:56:43.791Z"
"handelsbankenfoundations.se","https://handelsbankenfoundations.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-26T09:57:00.518Z"
