domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"superiorbank.se","https://superiorbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:42.598Z"
"ehandelsbanken.se","https://ehandelsbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:43.383Z"
"teslarobotaxi.se","https://teslarobotaxi.se",5,"medium_risk","enterprise_target","tesla","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:44.170Z"
"viktbanken.se","https://viktbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:44.954Z"
"ns1.casinomedapplepay.se","https://ns1.casinomedapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:45.737Z"
"visareserv.nu","https://visareserv.nu",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:46.525Z"
"amazonkatextil.sk","https://amazonkatextil.sk",5,"medium_risk","enterprise_target","amazon","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:47.334Z"
"metacoach.sk","https://metacoach.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:48.140Z"
"metabohack.sk","https://metabohack.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:48.937Z"
"ahredovisa.se","https://ahredovisa.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:49.736Z"
"u-wallet.sk","https://u-wallet.sk",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:50.527Z"
"authenticdialogue.se","https://authenticdialogue.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:51.315Z"
"visadesigns.se","https://visadesigns.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:52.102Z"
"autonomobank.se","https://autonomobank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:52.886Z"
"grantibank.nu","https://grantibank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:53.676Z"
"junebank.se","https://junebank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:54.460Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:55.249Z"
"ns1.casinomedapplepayutansvensklicens.se","https://ns1.casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:56.034Z"
"ns2.casinoapplepay.se","https://ns2.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:56.821Z"
"ns2.casinomedpaypal.se","https://ns2.casinomedpaypal.se",5,"medium_risk","enterprise_target","paypal","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:57.604Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:58.398Z"
"metaglucin.sk","https://metaglucin.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:59.186Z"
"applegames.se","https://applegames.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:59.973Z"
"f49-redovisa.se","https://f49-redovisa.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:00.762Z"
"liabank.se","https://liabank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:01.548Z"
"bankofeurope.se","https://bankofeurope.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:02.332Z"
"securescan.se","https://securescan.se",3,"blacklist_match","blacklist_match","","secure",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:03.117Z"
"wineoracles.se","https://wineoracles.se",5,"medium_risk","enterprise_target","oracle","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:03.901Z"
"altioraintelligence.se","https://altioraintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:04.688Z"
"visualaccounting.se","https://visualaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:05.475Z"
"applee.ee","https://applee.ee",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:06.260Z"
"gullbanken.se","https://gullbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:07.059Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","enterprise_target","sentinelone","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:07.842Z"
"kallebanka.se","https://kallebanka.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:08.629Z"
"nordi-paws.se","https://nordi-paws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:09.417Z"
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:10.202Z"
"luvisage.sk","https://luvisage.sk",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:10.996Z"
"ns1.casinoapplepay.se","https://ns1.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:11.782Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","blacklist_match","","signin",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:12.572Z"
"callunaminingsolutions.se","https://callunaminingsolutions.se",3,"blacklist_match","blacklist_match","","mining",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:13.360Z"
"ns1.casinomedvisakort.se","https://ns1.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:14.145Z"
"aisuperintelligence.se","https://aisuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:14.931Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:15.717Z"
"artificiellgenerellintelligens.se","https://artificiellgenerellintelligens.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:16.503Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:17.289Z"
"teslapoprad.sk","https://teslapoprad.sk",5,"medium_risk","enterprise_target","tesla","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:18.075Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:18.871Z"
"ns2.applepaycasino.se","https://ns2.applepaycasino.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:19.656Z"
"ns1.instantbankingcasino.se","https://ns1.instantbankingcasino.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:20.465Z"
"se-bank.se","https://se-bank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:21.247Z"
"wineoracle.se","https://wineoracle.se",5,"medium_risk","enterprise_target","oracle","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:22.030Z"
"teslacarsbodyshop.sk","https://teslacarsbodyshop.sk",5,"medium_risk","enterprise_target","tesla","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:22.815Z"
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:23.597Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:24.382Z"
"wero-wallet.se","https://wero-wallet.se",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:25.178Z"
"salusbank.se","https://salusbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:25.962Z"
"visar.ee","https://visar.ee",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:26.750Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:27.537Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","enterprise_target","tesla","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:28.325Z"
"ns1.casinomedpaypal.se","https://ns1.casinomedpaypal.se",5,"medium_risk","enterprise_target","paypal","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:29.107Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:29.889Z"
"profilmetall.se","https://profilmetall.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:30.673Z"
"aaccountconsultab.se","https://aaccountconsultab.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:31.460Z"
"nordiskametallindustri.se","https://nordiskametallindustri.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:32.258Z"
"verksamhetsintelligens.se","https://verksamhetsintelligens.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:25:33.056Z"
